휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,,데이터갱신구분,,업태구분명,위생업태명,Latitude,Longitude
,,,18,140-848,서울특별시 용산구 원효로3가 49-6,"서울특별시 용산구 원효로 152, 3층 (원효로3가)",4366,가비엔누리 용산점,,U,,커피숍,,37.53432174,126.9599857
,,,3.3,134-868,서울특별시 강동구 천호동 335-8,"서울특별시 강동구 올림픽로79길 23, 1층 (천호동)",5245,세븐일레븐 천호이편한점,,I,,편의점,,37.54399105,127.1239107
,,,305,138-889,서울특별시 송파구 잠실동 1-2,"서울특별시 송파구 백제고분로 2, 누에나루 선착장 1층 (잠실동)",5500,CU잠실선착장점,,I,,편의점,,37.52004596,127.0828212
,,,0,142-701,서울특별시 강북구 수유동 192-59 강북구청,"서울특별시 강북구 도봉로89길 13, 강북구청 및 한천로139길 일대 (수유동)",1071,CREAM&BUTTER(크림앤버터),,U,,기타 휴게음식점,,37.63954435,127.0254726
,,,0,142-701,서울특별시 강북구 수유동 192-59 강북구청,"서울특별시 강북구 도봉로89길 13, 강북구청 및 한천로139길 일대 (수유동)",1071,봉봉(BonBon),,U,,기타 휴게음식점,,37.63954435,127.0254726
,,,69.22,156-848,서울특별시 동작구 신대방동 362-29,"서울특별시 동작구 여의대방로24길 24, 1층 (신대방동)",7056,컴포즈커피 보라매중앙점,,I,,커피숍,,37.49786826,126.9215324
,,,50.2,152-880,서울특별시 구로구 구로동 1127-26 대성빌딩,"서울특별시 구로구 디지털로32가길 9, 대성빌딩 1층 103호 (구로동)",8392,Goodie Bingsu(구디 빙수),,I,,아이스크림,,37.48258916,126.899549
,,,,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,"서울특별시 송파구 올림픽로 240, 롯데월드 지하1층 일부호 (잠실동)",5554,담소,,U,,기타 휴게음식점,,37.51128663,127.097939
,,,,139-708,서울특별시 노원구 상계동 713 롯데백화점,"서울특별시 노원구 동일로 1414, 롯데백화점 지하1층 (상계동)",1695,카우엔,,U,,기타 휴게음식점,,37.65514415,127.0610784
,,,,138-721,서울특별시 송파구 잠실동 40-1 롯데월드,"서울특별시 송파구 올림픽로 240, 롯데월드 롯데백화점 지하1층 (잠실동)",5554,미르에프앤비랩,,U,,기타 휴게음식점,,37.51128663,127.097939
